임신부터 출산 후 24개월까지 — 전체 콘텐츠 인벤토리,,,,,,,,,,,,,,,,,,,,,,,,,,
한 행은 하나의 정보 또는 행동 단위입니다. 필터로 시기·주제·유형·행동 단계·대상·중요도를 조합해 검토하세요. 의료·행정 내용은 공식 출처 확인 후 사용하세요.,,,,,,,,,,,,,,,,,,,,,,,,,,
번호,대시기,세부 시기,시점 기준,시작 값,종료 값,단위,주제,세부 주제,태그,콘텐츠 유형,행동 단계,대상,제목,요약,왜 필요한가,어떻게 하는가,중요도,체크 가능,개인화 조건,관련 항목,공식 출처,출처 상태,검토 상태,예상 비용,바우처 사용 가능,메모
325,영아 후기,생후 13~24개월,출생일,13,24,개월,아기 건강·돌봄,언어·사회성,,가이드,기록,아기,발달의 뚜렷한 퇴행 시 상담,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,미리 이해하면 실제 상황에서 판단과 행동이 쉬워져요.,공식 안내와 이용 기관의 정책을 함께 확인하세요.,권장,예,공통,발달의 뚜렷한 퇴행 시 상담,,편집 검토 필요,초안,,,
326,영아 후기,생후 13~24개월,출생일,13,24,개월,아기 건강·돌봄,안전·생활,,할 일,실행,부부,보행기 이후 낙상·충돌 위험 점검,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,보행기 이후 낙상·충돌 위험 점검,,편집 검토 필요,초안,,,
327,영아 후기,생후 13~24개월,출생일,13,24,개월,아기 건강·돌봄,안전·생활,,할 일,실행,부부,약·세제·날카로운 물건 잠금 보관,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,약·세제·날카로운 물건 잠금 보관,,편집 검토 필요,초안,,,
328,영아 후기,생후 13~24개월,출생일,13,24,개월,아기 건강·돌봄,안전·생활,,할 일,실행,부부,차량과 외출 안전수칙 재확인,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,차량과 외출 안전수칙 재확인,,편집 검토 필요,초안,,,
329,영아 후기,생후 13~24개월,출생일,13,24,개월,아기 건강·돌봄,안전·생활,,할 일,실행,부부,응급 연락처와 대처 교육 갱신,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,필수,예,공통,응급 연락처와 대처 교육 갱신,,편집 검토 필요,초안,,,
330,영아 후기,생후 13~24개월,출생일,13,24,개월,육아용품,의류·놀이,,육아용품,결과 확인,부부,성장에 맞춰 의류·신발 사이즈 정리,출산 후 실제 사용 시점과 필요성을 기준으로 준비하기 위해 필요해요.,출산 후 실제 사용 시점과 필요성을 기준으로 준비하기 위해 필요해요.,구매·선물·대여·기관 제공 여부를 확인한 후 준비하세요.,권장,예,공통,성장에 맞춰 의류·신발 사이즈 정리,,편집 검토 필요,초안,,,
331,영아 후기,생후 13~24개월,출생일,13,24,개월,육아용품,의류·놀이,,육아용품,결과 확인,부부,사용 시기가 지난 용품 처분·대여 반납,출산 후 실제 사용 시점과 필요성을 기준으로 준비하기 위해 필요해요.,출산 후 실제 사용 시점과 필요성을 기준으로 준비하기 위해 필요해요.,구매·선물·대여·기관 제공 여부를 확인한 후 준비하세요.,권장,예,공통,사용 시기가 지난 용품 처분·대여 반납,,편집 검토 필요,초안,,,
332,영아 후기,생후 13~24개월,출생일,13,24,개월,육아용품,의류·놀이,,육아용품,결과 확인,부부,발달에 맞는 그림책·역할놀이 용품 검토,출산 후 실제 사용 시점과 필요성을 기준으로 준비하기 위해 필요해요.,출산 후 실제 사용 시점과 필요성을 기준으로 준비하기 위해 필요해요.,구매·선물·대여·기관 제공 여부를 확인한 후 준비하세요.,권장,예,공통,발달에 맞는 그림책·역할놀이 용품 검토,,편집 검토 필요,초안,,,
333,영아 후기,생후 13~24개월,출생일,13,24,개월,보호자·부부 역할,가족 생활,,할 일,결과 확인,부부,돌봄·가사 분담 재조정,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,공통,돌봄·가사 분담 재조정,,편집 검토 필요,초안,,,
334,영아 후기,생후 13~24개월,출생일,13,24,개월,보호자·부부 역할,가족 생활,,할 일,결과 확인,부부,부부의 개인시간과 휴식 점검,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,공통,부부의 개인시간과 휴식 점검,,편집 검토 필요,초안,,,
335,영아 후기,생후 13~24개월,출생일,13,24,개월,보호자·부부 역할,가족 생활,,할 일,결과 확인,부부,가족의 다음 1년 비용과 돌봄 계획 세우기,실행 가능한 준비 항목이에요.,실행 가능한 준비 항목이에요.,필요한 정보와 준비물을 확인하고 완료 여부를 기록하세요.,권장,예,공통,가족의 다음 1년 비용과 돌봄 계획 세우기,,편집 검토 필요,초안,가정별 상이,확인 필요,
336,임신 확인,4~5주,임신 주차,4,5,주,보호자·부부 역할,첫 대응,"실제 부모 경험, 좋은 점, 아쉬운 점, 직접 입력",경험담,알아보기,부부,임신 확인 후 실제로 가장 먼저 한 일,실제 사례를 통해 검색으로 알기 어려운 선택 기준을 이해해요.,개인차가 큰 경험이므로 여러 사례를 비교하기 위해 필요해요.,좋은 점·아쉬운 점·우리에게 맞았는지를 구분해 기록하세요.,선택,아니오,공통,임신 확인 후 실제로 가장 먼저 한 일,,편집 검토 필요,초안,,,
337,임신 초기,6~9주,임신 주차,6,9,주,산모 건강·회복,입덧 경험,"실제 부모 경험, 좋은 점, 아쉬운 점, 직접 입력",경험담,알아보기,부부,입덧 시기에 실제로 도움이 되었던 생활 방법,실제 사례를 통해 검색으로 알기 어려운 선택 기준을 이해해요.,개인차가 큰 경험이므로 여러 사례를 비교하기 위해 필요해요.,좋은 점·아쉬운 점·우리에게 맞았는지를 구분해 기록하세요.,선택,아니오,공통,입덧 시기에 실제로 도움이 되었던 생활 방법,,편집 검토 필요,초안,,,
338,임신 초기,10~13주,임신 주차,10,13,주,검사·진료,검사 선택 경험,"실제 부모 경험, 좋은 점, 아쉬운 점, 직접 입력",경험담,알아보기,부부,초기 선별검사를 선택할 때 고민했던 점,실제 사례를 통해 검색으로 알기 어려운 선택 기준을 이해해요.,개인차가 큰 경험이므로 여러 사례를 비교하기 위해 필요해요.,좋은 점·아쉬운 점·우리에게 맞았는지를 구분해 기록하세요.,선택,아니오,공통,초기 선별검사를 선택할 때 고민했던 점,,편집 검토 필요,초안,,,
339,임신 중기,14~17주,임신 주차,14,17,주,보호자·부부 역할,주변 공유,"실제 부모 경험, 좋은 점, 아쉬운 점, 직접 입력",경험담,알아보기,부부,가족과 회사에 임신 사실을 알린 시기와 이유,실제 사례를 통해 검색으로 알기 어려운 선택 기준을 이해해요.,개인차가 큰 경험이므로 여러 사례를 비교하기 위해 필요해요.,좋은 점·아쉬운 점·우리에게 맞았는지를 구분해 기록하세요.,선택,아니오,공통,가족과 회사에 임신 사실을 알린 시기와 이유,,편집 검토 필요,초안,,,
340,임신 중기,18~21주,임신 주차,18,21,주,산모 건강·회복,태동 경험,"실제 부모 경험, 좋은 점, 아쉬운 점, 직접 입력",경험담,알아보기,부부,처음 태동을 느꼈을 때 헷갈렸던 점,실제 사례를 통해 검색으로 알기 어려운 선택 기준을 이해해요.,개인차가 큰 경험이므로 여러 사례를 비교하기 위해 필요해요.,좋은 점·아쉬운 점·우리에게 맞았는지를 구분해 기록하세요.,선택,아니오,공통,처음 태동을 느꼈을 때 헷갈렸던 점,,편집 검토 필요,초안,,,
341,임신 중기,22~27주,임신 주차,22,27,주,병원·조리원·돌봄 서비스,조리원 선택,"실제 부모 경험, 좋은 점, 아쉬운 점, 직접 입력",경험담,알아보기,부부,조리원을 선택할 때 좋았던 점과 아쉬웠던 점,실제 사례를 통해 검색으로 알기 어려운 선택 기준을 이해해요.,개인차가 큰 경험이므로 여러 사례를 비교하기 위해 필요해요.,좋은 점·아쉬운 점·우리에게 맞았는지를 구분해 기록하세요.,선택,아니오,공통,조리원을 선택할 때 좋았던 점과 아쉬웠던 점,,편집 검토 필요,초안,,,
342,임신 후기,28~30주,임신 주차,28,30,주,육아용품,구매 경험,"실제 부모 경험, 좋은 점, 아쉬운 점, 직접 입력",경험담,알아보기,부부,일찍 사서 좋았던 용품과 나중에 사도 됐던 용품,실제 사례를 통해 검색으로 알기 어려운 선택 기준을 이해해요.,개인차가 큰 경험이므로 여러 사례를 비교하기 위해 필요해요.,좋은 점·아쉬운 점·우리에게 맞았는지를 구분해 기록하세요.,선택,아니오,공통,일찍 사서 좋았던 용품과 나중에 사도 됐던 용품,,편집 검토 필요,초안,,,
343,임신 후기,31~33주,임신 주차,31,33,주,출산 준비,가방 준비,"실제 부모 경험, 좋은 점, 아쉬운 점, 직접 입력",경험담,알아보기,부부,출산가방을 싸며 실제로 빠뜨리기 쉬웠던 물품,실제 사례를 통해 검색으로 알기 어려운 선택 기준을 이해해요.,개인차가 큰 경험이므로 여러 사례를 비교하기 위해 필요해요.,좋은 점·아쉬운 점·우리에게 맞았는지를 구분해 기록하세요.,선택,아니오,공통,출산가방을 싸며 실제로 빠뜨리기 쉬웠던 물품,,편집 검토 필요,초안,,,
344,출산 준비,34~36주,임신 주차,34,36,주,입원·출산 과정,출산 방법,"실제 부모 경험, 좋은 점, 아쉬운 점, 직접 입력",경험담,알아보기,부부,유도분만이나 제왕절개 가능성을 들었을 때 고민한 점,실제 사례를 통해 검색으로 알기 어려운 선택 기준을 이해해요.,개인차가 큰 경험이므로 여러 사례를 비교하기 위해 필요해요.,좋은 점·아쉬운 점·우리에게 맞았는지를 구분해 기록하세요.,선택,아니오,공통,유도분만이나 제왕절개 가능성을 들었을 때 고민한 점,,편집 검토 필요,초안,,,
345,출산 준비,37~40주,임신 주차,37,40,주,입원·출산 과정,출산 임박,"실제 부모 경험, 좋은 점, 아쉬운 점, 직접 입력",경험담,알아보기,부부,진통을 기다리며 실제로 준비했던 것,실제 사례를 통해 검색으로 알기 어려운 선택 기준을 이해해요.,개인차가 큰 경험이므로 여러 사례를 비교하기 위해 필요해요.,좋은 점·아쉬운 점·우리에게 맞았는지를 구분해 기록하세요.,선택,아니오,공통,진통을 기다리며 실제로 준비했던 것,,편집 검토 필요,초안,,,
346,출산 준비,입원 D-28~D-8,입원일,-28,-8,일,출산 준비,병원 질문,"실제 부모 경험, 좋은 점, 아쉬운 점, 직접 입력",경험담,알아보기,부부,병원에 미리 물어봐서 도움이 되었던 질문,실제 사례를 통해 검색으로 알기 어려운 선택 기준을 이해해요.,개인차가 큰 경험이므로 여러 사례를 비교하기 위해 필요해요.,좋은 점·아쉬운 점·우리에게 맞았는지를 구분해 기록하세요.,선택,아니오,공통,병원에 미리 물어봐서 도움이 되었던 질문,,편집 검토 필요,초안,,,
347,입원 직전,입원 D-7~D-1,입원일,-7,-1,일,보호자·부부 역할,입원 전 대화,"실제 부모 경험, 좋은 점, 아쉬운 점, 직접 입력",경험담,알아보기,부부,입원 전 부부가 미리 합의해서 도움이 되었던 것,실제 사례를 통해 검색으로 알기 어려운 선택 기준을 이해해요.,개인차가 큰 경험이므로 여러 사례를 비교하기 위해 필요해요.,좋은 점·아쉬운 점·우리에게 맞았는지를 구분해 기록하세요.,선택,아니오,공통,입원 전 부부가 미리 합의해서 도움이 되었던 것,,편집 검토 필요,초안,,,
348,입원·출산,입원 D-day~D+3,입원일,0,3,일,보호자·부부 역할,출산 당일,"실제 부모 경험, 좋은 점, 아쉬운 점, 직접 입력",경험담,알아보기,부부,출산 당일 보호자가 실제로 가장 많이 한 일,실제 사례를 통해 검색으로 알기 어려운 선택 기준을 이해해요.,개인차가 큰 경험이므로 여러 사례를 비교하기 위해 필요해요.,좋은 점·아쉬운 점·우리에게 맞았는지를 구분해 기록하세요.,선택,아니오,공통,출산 당일 보호자가 실제로 가장 많이 한 일,,편집 검토 필요,초안,,,
349,병원 회복,출생 D+0~D+7,출생일,0,7,일,행정·지원 혜택,병원 서류,"실제 부모 경험, 좋은 점, 아쉬운 점, 직접 입력",경험담,알아보기,부부,퇴원 전에 챙겨서 도움이 되었던 서류와 기록,실제 사례를 통해 검색으로 알기 어려운 선택 기준을 이해해요.,개인차가 큰 경험이므로 여러 사례를 비교하기 위해 필요해요.,좋은 점·아쉬운 점·우리에게 맞았는지를 구분해 기록하세요.,선택,아니오,공통,퇴원 전에 챙겨서 도움이 되었던 서류와 기록,,편집 검토 필요,초안,,,
350,조리원,조리원 D+0~D+14,조리원 입소일,0,14,일,병원·조리원·돌봄 서비스,조리원 생활,"실제 부모 경험, 좋은 점, 아쉬운 점, 직접 입력",경험담,알아보기,부부,조리원에서 좋았던 점·아쉬웠던 점·직접 추가할 준비물,실제 사례를 통해 검색으로 알기 어려운 선택 기준을 이해해요.,개인차가 큰 경험이므로 여러 사례를 비교하기 위해 필요해요.,좋은 점·아쉬운 점·우리에게 맞았는지를 구분해 기록하세요.,선택,아니오,공통,조리원에서 좋았던 점·아쉬웠던 점·직접 추가할 준비물,,편집 검토 필요,초안,,,
351,집 복귀,집 복귀 D-3~D+14,집 복귀일,-3,14,일,아기 건강·돌봄,첫 집 생활,"실제 부모 경험, 좋은 점, 아쉬운 점, 직접 입력",경험담,알아보기,부부,아기와 처음 집에 왔을 때 가장 당황했던 순간,실제 사례를 통해 검색으로 알기 어려운 선택 기준을 이해해요.,개인차가 큰 경험이므로 여러 사례를 비교하기 위해 필요해요.,좋은 점·아쉬운 점·우리에게 맞았는지를 구분해 기록하세요.,선택,아니오,공통,아기와 처음 집에 왔을 때 가장 당황했던 순간,,편집 검토 필요,초안,,,
352,신생아기,생후 0~4주,출생일,0,28,일,보호자·부부 역할,야간 돌봄,"실제 부모 경험, 좋은 점, 아쉬운 점, 직접 입력",경험담,알아보기,부부,밤 수유와 수면을 실제로 나눈 방법,실제 사례를 통해 검색으로 알기 어려운 선택 기준을 이해해요.,개인차가 큰 경험이므로 여러 사례를 비교하기 위해 필요해요.,좋은 점·아쉬운 점·우리에게 맞았는지를 구분해 기록하세요.,선택,아니오,공통,밤 수유와 수면을 실제로 나눈 방법,,편집 검토 필요,초안,,,
353,영아 초기,생후 1~3개월,출생일,1,3,개월,아기 건강·돌봄,생활 패턴,"실제 부모 경험, 좋은 점, 아쉬운 점, 직접 입력",경험담,알아보기,부부,1~3개월에 수유와 수면이 달라졌던 경험,실제 사례를 통해 검색으로 알기 어려운 선택 기준을 이해해요.,개인차가 큰 경험이므로 여러 사례를 비교하기 위해 필요해요.,좋은 점·아쉬운 점·우리에게 맞았는지를 구분해 기록하세요.,선택,아니오,공통,1~3개월에 수유와 수면이 달라졌던 경험,,편집 검토 필요,초안,,,
354,영아 중기,생후 4~6개월,출생일,4,6,개월,육아용품,이유식 준비,"실제 부모 경험, 좋은 점, 아쉬운 점, 직접 입력",경험담,알아보기,부부,이유식을 시작하며 실제로 필요했던 용품,실제 사례를 통해 검색으로 알기 어려운 선택 기준을 이해해요.,개인차가 큰 경험이므로 여러 사례를 비교하기 위해 필요해요.,좋은 점·아쉬운 점·우리에게 맞았는지를 구분해 기록하세요.,선택,아니오,공통,이유식을 시작하며 실제로 필요했던 용품,,편집 검토 필요,초안,,,
355,영아 중기,생후 7~12개월,출생일,7,12,개월,아기 건강·돌봄,안전 준비,"실제 부모 경험, 좋은 점, 아쉬운 점, 직접 입력",경험담,알아보기,부부,아기가 움직이기 시작한 뒤 급하게 바꾼 집안 환경,실제 사례를 통해 검색으로 알기 어려운 선택 기준을 이해해요.,개인차가 큰 경험이므로 여러 사례를 비교하기 위해 필요해요.,좋은 점·아쉬운 점·우리에게 맞았는지를 구분해 기록하세요.,선택,아니오,공통,아기가 움직이기 시작한 뒤 급하게 바꾼 집안 환경,,편집 검토 필요,초안,,,
356,영아 후기,생후 13~24개월,출생일,13,24,개월,병원·조리원·돌봄 서비스,어린이집 적응,"실제 부모 경험, 좋은 점, 아쉬운 점, 직접 입력",경험담,알아보기,부부,어린이집을 알아보고 적응하며 좋았던 점과 아쉬웠던 점,실제 사례를 통해 검색으로 알기 어려운 선택 기준을 이해해요.,개인차가 큰 경험이므로 여러 사례를 비교하기 위해 필요해요.,좋은 점·아쉬운 점·우리에게 맞았는지를 구분해 기록하세요.,선택,아니오,공통,어린이집을 알아보고 적응하며 좋았던 점과 아쉬웠던 점,,편집 검토 필요,초안,,,
